node_a,node_b,tech,start_time,end_time,duration,min_dist_m,max_dist_m,start_lat_a,start_lon_a,start_lat_b,start_lon_b,end_lat_a,end_lon_a,end_lat_b,end_lon_b
ESC2,EDGE_1,bluetooth,344.0,353.0,9.0,3.19,44.51,38.9062602,-77.0594883,38.9063,-77.0599786,38.9062835,-77.0604919,38.9063,-77.0599786
V00,WIS_Q,wifi,343.0,355.0,12.0,4.94,61.06,38.9116996,-77.0601048,38.9117,-77.0594,38.9117,-77.0587081,38.9117,-77.0594
V02,P_33,bluetooth,347.0,355.0,8.0,6.88,39.88,38.9102582,-77.0557111,38.9099,-77.0557,38.9099268,-77.0561567,38.9099,-77.0557
V07,EDGE_1,bluetooth,346.0,355.0,9.0,1.33,44.32,38.906322,-77.0604894,38.9063,-77.0599786,38.9063015,-77.0594739,38.9063,-77.0599786
V04,V07,wifi,349.0,357.0,8.0,13.03,64.9,38.9065036,-77.0594,38.9063143,-77.0601086,38.9063498,-77.060111,38.9061425,-77.0594402
V04,WIS_N,wifi,346.0,357.0,11.0,11.55,61.84,38.9068,-77.0594,38.9063,-77.0594,38.9063498,-77.060111,38.9063,-77.0594
ESC1,V02,bluetooth,356.0,360.0,4.0,2.72,42.33,38.9099,-77.056684,38.9099217,-77.0564106,38.9099,-77.0563031,38.9099141,-77.0567914
V07,WIS_N,wifi,349.0,361.0,12.0,6.41,61.58,38.9063143,-77.0601086,38.9063,-77.0594,38.9057474,-77.0594305,38.9063,-77.0594
V08,WIS_P,bluetooth,354.0,362.0,8.0,4.95,39.05,38.9099002,-77.0598508,38.9099,-77.0594,38.9099,-77.058962,38.9099,-77.0594
ESC1,EDGE_3,bluetooth,363.0,366.0,3.0,40.73,43.46,38.9099,-77.0557952,38.9099,-77.0552994,38.9097423,-77.0557583,38.9099,-77.0552994
ESC1,P_33,bluetooth,360.0,368.0,8.0,8.24,41.24,38.9099,-77.0561761,38.9099,-77.0557,38.9095447,-77.0557513,38.9099,-77.0557
V03,WIS_P,bluetooth,362.0,370.0,8.0,6.4,39.64,38.909909,-77.0598547,38.9099,-77.0594,38.9095449,-77.0594353,38.9099,-77.0594
